comment,sentiment
60m,neutral
of amas oylaması bitmiş,neutral
953k,neutral
çantada kupalar var ve hepsi̇ staylar yüzünden olurum la si̇ze,neutral
"""stay"" you quoting official posts from samsung and being nasty, will not affect the one you're being nasty to (in this case, felix). but it'll certainly affect the ones you represent through your posts. i hope samsung knows how embarrassing ""stay"" are now. just reminder, samsung korea official account is followed by korean general public, not only k-pop fans and definitely not just ""stay"". every hateful comments in felix posts on samsung official account inevitably impacts how the public sees ""stay"". do you really think brands or media don’t see what you doing? it’s honestly so immature and pathetic. to any brand, fans like that are low-tier, low-quality profiles with zero investment value. samsung will recognize the praise and active support from pixies, while those jealous, bitter fan groups will only drag their own favs down into the blacklist of low-quality consumers. no brand wants to be associated with people like that. samsung is not a fashion house! samsung works with different idols, models and artists for each new cell phone models and it has nothing to do with your favorite, his contract expired long ago.",neutral
çok feci huylanıyorum umarım içime böcek falan girmemiştir,neutral
hapşuma bakan yok cidden,neutral
sooo perfect,positive
pp ketti repostam qildim😊,neutral
947k,neutral
"941k, 59k more for 61m
we’re right into the next voting! 😅 skz are nominated for favorite music group and favorite global music star at the kids choice awards!",positive
one thing where is lee know i don’t see him anywhere but this song is the best beat ever❤❤,positive
skz the mv so good!,positive
"bno me discukpo si lo q esdribo tiene muchaf galtas de ortografía😊 te deseo uns linda noche y q el sueño toque tu cprasao promto, gradiad a diso mañana si ,e piedo quedar mas timepo rn rl syrim 🗣️ tespero en mis sueñod para apsar 6 hrs juntos q no hicimod en reib, q te gad limdo vierned te wuiero mucho, nsitots 💞😽💤",neutral
"934k, 66k more for 61m
there’s still 1 and a half hour left to vote for the amas at -you know where- !  make every single one count! remember it needs to be public and written right   kpopstraykids  with the dot above the i",neutral
"bno sirenita caguai al parecer tonotostim está llegando su etapa terminal😊 mentira no ni dios lo mande yo siempre me haré tiempo para verte pq no ñuedo vivir sin ti 😽 te quiero mucho 💞 espero q twngas un ecslente viernes de excel y ojalá ya llegue wl flameante jefe a sacarte de ahí 🗣️ sino siempre esta la opción 2 de que yo te mantenda ahí humildemente pero merca de ksu no te va a faltar lo juro😊 gracias por aceptarme el estrim nos vemos mañana para beomseoki si dios quiere 😊😊 que descanses y no te wnfermes chiquitin, bsitos",neutral
que sigue?hoy no soñé contigo 😢,neutral
lade meibi bno en la próxima m voy 😔,neutral
"fantasy wish you all a great friday! :) 
walking on water x love race",positive
twisted paradise yuta igual q la cdmx es,negative
pero cuando regresaba a cas jue 1h30 💀,neutral
como 30min crep,neutral
se me habia ido el internet pero ya estamos bn,neutral
lade side effects mute😢,neutral
que sigue?igual ahora q me camcelaron lo q no llegó pos busqué lo mismo en mercari y hasta cambio me van a dar pq sale mas barato en reventa🙏🙏,neutral
el impermeable de la membresía 😊,neutral
te voy a comprar un impermeable,neutral
"pues disfruten su strim, buenas noches, que les vaya bien mañana en sus actividades y no se moje ni enferme ni accidente nadie, ni endeude más, gracias te voy a tener que ir a cortar el cable dela luz emenci😊 , nos vemos muchos besos 💗👋",neutral
vamos a duhpero decia para el examen para la clase de manana todo bn😊 donwori,neutral
bno,neutral
yocreoqno,neutral
yo creo que sí,neutral
será qué lo vale el seguirlos y estar 5min con ustedes en strim,neutral
yenfo ola😊 yore,neutral
aki mespero chiflenme holaya?,neutral
pero no usas ya tu carro luquitas?,neutral
unu,neutral
si mañana amanece llovienro m voy a swprd,neutral
hermano desde las 3 q comenzó a llover y no ha parado,neutral
yo no sé si alcance hoy la vda,neutral
que tendrá la pizza q la están vendiendo a 60 peso 10 revanadas,neutral
pq tevas?,neutral
aquí congelandole vas vistazzzz a los floperos esos😂,neutral
pero vaver strim?,neutral
wuluwu,neutral
que flojerita,neutral
no hubo brauni hoy,neutral
"bno enfin, 1vuelta 🥳🥳",neutral
cómo que sigo mutw,neutral
apoco ya 2hr🎉,neutral
quién diría que me sale más barato ir a mty q a vera,neutral
od,neutral
nome acuerdo pero no merecía,neutral
como se llamaba la chica esa,neutral
ewwww flopp 🤢🤢🤢🤢🤢🤮🤮🤮🤮,neutral
ai es mucho de envío vda 😂 pwro juro a la luna q era lo que me salía mejor,neutral
ya quitame wl muteee,neutral
yo me la pasw vienfo las versiones del album de rais xddd,neutral
te hiciste las uñas?,neutral
me arden los ojso,neutral
